id;title;ios_url;ios_app_store_id;ios_app_name;android_url;android_package;android_app_name;windows_phone_url;windows_phone_app_id;windows_phone_app_name;description;google_product_category;product_type;link;image_link;condition;availability;price;sale_price;sale_price_effective_date;gtin;brand;mpn;item_group_id;gender;age_group;color;size;shipping;custom_label_0
1730;B Issue 29 Ace Hotel;;;;;;;;;;"Ace Hotel got its start in 1999 when Alex Calderwood and HIS FRIENDs renovated an old halfway house in Seattle, transforming it into a small hotel. By absorbing the cultural heritage of surrounding communities and collaborating with various artists and brands, Ace Hotel creates its own collection of hotels, each possessing their own look and feel. Ace Hotel has not only helped to revive neightborhoods, but it has also breathed new life into the entire hotel industry.

&nbsp;
";Watches;;https://www.thewatch.co/product/b-issue-29-ace-hotel;https://www.thewatch.co/img/product/4731/4731_medium.jpg;new;in stock;300000;;;;B Magazine;;;;;;;;
1729;Clubmaster Chic Steel - Hms Gold Grey Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a rose gold steel case in 36 mm: the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-steel-hms-gold-grey-dial;https://www.thewatch.co/img/product/4729/4729_medium.jpg;new;in stock;3399000;;;;Briston;;;;;;;;
1728;Clubmaster Chic Steel - Hms Gold White Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a rose gold steel case in 36 mm: the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-steel-hms-gold-white-dial;https://www.thewatch.co/img/product/4726/4726_medium.jpg;new;in stock;3399000;;;;Briston;;;;;;;;
1727;Clubmaster Chic Steel - Hms Gold Black Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a rose gold steel case in 36 mm: the Clubmaster Chic.
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-steel-hms-gold-black-dial;https://www.thewatch.co/img/product/4725/4725_medium.jpg;new;in stock;3399000;;;;Briston;;;;;;;;
1726;Clubmaster Chic Acetate - Hms Tortoise Shell Grey Sunray Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a tortoise shell case in 36 mm : the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-acetate-hms-tortoise-shell-grey-sunray-dial;https://www.thewatch.co/img/product/4722/4722_medium.jpg;new;in stock;2599000;;;;Briston;;;;;;;;
1725;Clubmaster Chic Acetate - Hms Tortoise Shell White Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a tortoise shell case in 36 mm : the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-acetate-hms-tortoise-shell-white-dial;https://www.thewatch.co/img/product/4720/4720_medium.jpg;new;in stock;2599000;;;;Briston;;;;;;;;
1724;Clubmaster Chic Acetate - Hms Tortoise Shell Black Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a tortoise shell case in 36 mm : the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-acetate-hms-tortoise-shell-black-dial;https://www.thewatch.co/img/product/4718/4718_medium.jpg;new;in stock;2599000;;;;Briston;;;;;;;;
1723;Clubmaster Chic Steel - Hms Grey Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a rose gold steel case in 36 mm: the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-steel-hms-gold-grey-dial;https://www.thewatch.co/img/product/4732/4732_medium.jpg;new;in stock;2799000;;;;Briston;;;;;;;;
1722;Clubmaster Chic Steel - Hms White Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a steel case in 36 mm: the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/clubmaster-chic-steel---hms-white-dial;https://www.thewatch.co/img/product/4713/4713_medium.jpg;new;in stock;2799000;;;;Briston;;;;;;;;
1721;Clubmaster Chic Steel - Hms Black Dial;;;;;;;;;;"Briston offers the perfect and elegant watch with a steel case in 36 mm: the Clubmaster Chic.>
";Watches;;https://www.thewatch.co/product/briston-clubmaster-chic-steel-hms-black-dial;https://www.thewatch.co/img/product/4711/4711_medium.jpg;new;in stock;2799000;;;;Briston;;;;;;;;
